"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 22:19:26 GMT 2021","Mon Jul 26 22:19:26 GMT 2021","6","","com.example.project.FirstTest","","com.example.project.FirstTest","validateNumbers","Test github actions",""
"passed","Mon Jul 26 22:19:26 GMT 2021","Mon Jul 26 22:19:26 GMT 2021","223","","com.example.project.FirstTest","","com.example.project.FirstTest","validateInsertionSortDESC","Array should be sorted by DESC",""
"passed","Mon Jul 26 22:19:26 GMT 2021","Mon Jul 26 22:19:26 GMT 2021","3","","com.example.project.FirstTest","","com.example.project.FirstTest","validateInsertionSortASC","Array should be sorted by ASC",""
